settlement-id,transaction-type,order-id,posted-date,sku,quantity,product-sales,shipping-credits,promotional-rebates,selling-fees,fba-fees,other-transaction-fees,other,total
2026-STL-0402,Order,114-1003342-7191591,2026-04-02,PH-TREAT-SALMON,1,18.99,0.00,-0.00,-2.85,-3.90,0.00,0.00,12.24
2026-STL-0402,Order,114-1003343-1390306,2026-04-02,PH-TREAT-SALMON,1,18.99,0.00,-0.00,-2.85,-3.90,0.00,0.00,12.24
2026-STL-0402,Order,114-1003811-6351268,2026-04-02,PH-TOY-ROPE-L,1,13.99,0.00,-1.40,-1.89,-3.75,0.00,0.00,6.95
2026-STL-0402,Order,114-1003987-3070608,2026-04-02,PH-BED-MED-GRY,1,42.99,0.00,-0.00,-6.45,-12.40,0.00,0.00,24.14
2026-STL-0402,Order,114-1003988-2457010,2026-04-02,PH-BED-MED-GRY,1,42.99,0.00,-0.00,-6.45,-12.40,0.00,0.00,24.14
2026-STL-0402,Order,114-1004095-8691559,2026-04-02,PH-BRUSH-DBL,1,12.99,0.00,-0.00,-1.95,-3.45,0.00,0.00,7.59
2026-STL-0402,Order,114-1004096-1274903,2026-04-02,PH-BRUSH-DBL,3,38.97,0.00,-0.00,-5.85,-10.35,0.00,0.00,22.77
2026-STL-0402,Order,114-1004222-1945506,2026-04-02,PH-DENTAL-30CT,1,21.99,0.00,-2.20,-2.97,-4.10,0.00,0.00,12.72
2026-STL-0403,Order,114-1000005-8090293,2026-04-03,PF-WHEY-CHOC,1,44.99,0.00,-4.50,-6.07,-6.10,0.00,0.00,28.32
2026-STL-0403,Order,114-1000332-8669093,2026-04-03,PF-WHEY-VAN,1,44.99,0.00,-0.00,-6.75,-6.10,0.00,0.00,32.14
2026-STL-0403,Order,114-1000541-2425760,2026-04-03,PF-PREWKT-BERRY,2,65.98,0.00,-0.00,-9.90,-8.70,0.00,0.00,47.38
2026-STL-0403,Order,114-1000716-8304686,2026-04-03,PF-CREATINE-300,1,24.99,0.00,-5.00,-3.00,-4.05,0.00,0.00,12.94
2026-STL-0403,Order,114-1000717-5326615,2026-04-03,PF-CREATINE-300,2,49.98,0.00,-0.00,-7.50,-8.10,0.00,0.00,34.38
2026-STL-0403,Order,114-1000718-2460078,2026-04-03,PF-CREATINE-300,1,24.99,0.00,-2.50,-3.37,-4.05,0.00,0.00,15.07
2026-STL-0403,Order,114-1001071-8507800,2026-04-03,PF-BCAA-LEMON,1,27.99,0.00,-5.60,-3.36,-4.20,0.00,0.00,14.83
2026-STL-0403,Order,114-1001297-6471590,2026-04-03,PF-VEGAN-CHOC,1,39.99,0.00,-0.00,-6.00,-6.10,0.00,0.00,27.89
2026-STL-0403,Order,114-1001373-4730545,2026-04-03,PF-ELECTRO-CIT,1,21.99,0.00,-2.20,-2.97,-3.95,0.00,0.00,12.87
2026-STL-0403,Order,114-1001374-6157791,2026-04-03,PF-ELECTRO-CIT,1,21.99,0.00,-0.00,-3.30,-3.95,0.00,0.00,14.74
2026-STL-0403,Order,114-1001478-1689962,2026-04-03,GT-SERUM-VITC,1,28.99,0.00,-0.00,-4.35,-3.55,0.00,0.00,21.09
2026-STL-0403,Order,114-1001479-6690441,2026-04-03,GT-SERUM-VITC,1,28.99,0.00,-0.00,-4.35,-3.55,0.00,0.00,21.09
2026-STL-0403,Order,114-1001889-2968404,2026-04-03,GT-SERUM-HA,1,24.99,0.00,-0.00,-3.75,-3.55,0.00,0.00,17.69
2026-STL-0403,Order,114-1002213-9126125,2026-04-03,GT-MOIST-50ML,1,22.99,0.00,-2.30,-3.10,-3.60,0.00,0.00,13.99
2026-STL-0403,Order,114-1002418-9413762,2026-04-03,GT-CLEANSE-150,1,16.99,0.00,-0.00,-2.55,-3.70,0.00,0.00,10.74
2026-STL-0403,Order,114-1002419-6057767,2026-04-03,GT-CLEANSE-150,1,16.99,0.00,-0.00,-2.55,-3.70,0.00,0.00,10.74
2026-STL-0403,Order,114-1002574-5015044,2026-04-03,GT-MASK-CLAY,1,14.99,0.00,-0.00,-2.25,-3.85,0.00,0.00,8.89
2026-STL-0403,Order,114-1002575-6414413,2026-04-03,GT-MASK-CLAY,2,29.98,0.00,-3.00,-4.05,-7.70,0.00,0.00,15.23
2026-STL-0403,Order,114-1003344-5694057,2026-04-03,PH-TREAT-SALMON,1,18.99,0.00,-0.00,-2.85,-3.90,0.00,0.00,12.24
2026-STL-0403,Order,114-1003345-9897879,2026-04-03,PH-TREAT-SALMON,1,18.99,0.00,-3.80,-2.28,-3.90,0.00,0.00,9.01
2026-STL-0403,Order,114-1003660-5362675,2026-04-03,PH-SHAMPOO-OAT,1,15.99,0.00,-0.00,-2.40,-3.95,0.00,0.00,9.64
2026-STL-0403,Order,114-1003812-3374579,2026-04-03,PH-TOY-ROPE-L,1,13.99,0.00,-0.00,-2.10,-3.75,0.00,0.00,8.14
2026-STL-0403,Order,114-1003813-1001021,2026-04-03,PH-TOY-ROPE-L,2,27.98,0.00,-0.00,-4.20,-7.50,0.00,0.00,16.28
2026-STL-0403,Order,114-1003989-6802621,2026-04-03,PH-BED-MED-GRY,1,42.99,0.00,-0.00,-6.45,-12.40,0.00,0.00,24.14
2026-STL-0403,Order,114-1004223-2140673,2026-04-03,PH-DENTAL-30CT,2,43.98,0.00,-4.40,-5.94,-8.20,0.00,0.00,25.44
2026-STL-0404,Order,114-1000006-6647119,2026-04-04,PF-WHEY-CHOC,1,44.99,0.00,-9.00,-5.40,-6.10,0.00,0.00,24.49
2026-STL-0404,Order,114-1000333-5059048,2026-04-04,PF-WHEY-VAN,1,44.99,0.00,-0.00,-6.75,-6.10,0.00,0.00,32.14
2026-STL-0404,Order,114-1000334-6919270,2026-04-04,PF-WHEY-VAN,1,44.99,0.00,-0.00,-6.75,-6.10,0.00,0.00,32.14
2026-STL-0404,Order,114-1000719-1207430,2026-04-04,PF-CREATINE-300,1,24.99,0.00,-0.00,-3.75,-4.05,0.00,0.00,17.19
2026-STL-0404,Order,114-1000720-8039616,2026-04-04,PF-CREATINE-300,1,24.99,0.00,-0.00,-3.75,-4.05,0.00,0.00,17.19
2026-STL-0404,Order,114-1001298-4354702,2026-04-04,PF-VEGAN-CHOC,1,39.99,0.00,-0.00,-6.00,-6.10,0.00,0.00,27.89
2026-STL-0404,Order,114-1001299-9127012,2026-04-04,PF-VEGAN-CHOC,1,39.99,0.00,-0.00,-6.00,-6.10,0.00,0.00,27.89
2026-STL-0404,Order,114-1001375-2304181,2026-04-04,PF-ELECTRO-CIT,1,21.99,0.00,-0.00,-3.30,-3.95,0.00,0.00,14.74
2026-STL-0404,Order,114-1001480-9899034,2026-04-04,GT-SERUM-VITC,1,28.99,0.00,-0.00,-4.35,-3.55,0.00,0.00,21.09
2026-STL-0404,Order,114-1001481-3145327,2026-04-04,GT-SERUM-VITC,1,28.99,0.00,-0.00,-4.35,-3.55,0.00,0.00,21.09
2026-STL-0404,Order,114-1001890-3064357,2026-04-04,GT-SERUM-HA,1,24.99,0.00,-2.50,-3.37,-3.55,0.00,0.00,15.57
2026-STL-0404,Order,114-1001891-5307726,2026-04-04,GT-SERUM-HA,1,24.99,0.00,-0.00,-3.75,-3.55,0.00,0.00,17.69
2026-STL-0404,Order,114-1002214-1347746,2026-04-04,GT-MOIST-50ML,1,22.99,0.00,-0.00,-3.45,-3.60,0.00,0.00,15.94
2026-STL-0404,Order,114-1002215-3376209,2026-04-04,GT-MOIST-50ML,1,22.99,0.00,-0.00,-3.45,-3.60,0.00,0.00,15.94
2026-STL-0404,Order,114-1002420-7339384,2026-04-04,GT-CLEANSE-150,1,16.99,0.00,-0.00,-2.55,-3.70,0.00,0.00,10.74
2026-STL-0404,Order,114-1002708-4795970,2026-04-04,GT-EYE-CREAM,1,26.99,0.00,-2.70,-3.64,-3.50,0.00,0.00,17.15
2026-STL-0404,Order,114-1002821-1734135,2026-04-04,GT-SPF30-TINT,1,23.99,0.00,-0.00,-3.60,-3.60,0.00,0.00,16.79
2026-STL-0404,Order,114-1003089-3951849,2026-04-04,PH-CHEW-BULLY-6,2,59.98,0.00,-6.00,-8.10,-9.20,0.00,0.00,36.68
2026-STL-0404,Order,114-1003346-9404879,2026-04-04,PH-TREAT-SALMON,1,18.99,0.00,-0.00,-2.85,-3.90,0.00,0.00,12.24
2026-STL-0404,Order,114-1003347-3252405,2026-04-04,PH-TREAT-SALMON,2,37.98,0.00,-0.00,-5.70,-7.80,0.00,0.00,24.48
2026-STL-0404,Order,114-1003348-6703062,2026-04-04,PH-TREAT-SALMON,2,37.98,0.00,-0.00,-5.70,-7.80,0.00,0.00,24.48
2026-STL-0404,Order,114-1003661-8571412,2026-04-04,PH-SHAMPOO-OAT,1,15.99,0.00,-0.00,-2.40,-3.95,0.00,0.00,9.64
2026-STL-0404,Order,114-1003814-6740679,2026-04-04,PH-TOY-ROPE-L,1,13.99,0.00,-0.00,-2.10,-3.75,0.00,0.00,8.14
2026-STL-0404,Order,114-1003815-4544557,2026-04-04,PH-TOY-ROPE-L,2,27.98,0.00,-0.00,-4.20,-7.50,0.00,0.00,16.28
2026-STL-0404,Order,114-1003816-3980058,2026-04-04,PH-TOY-ROPE-L,1,13.99,0.00,-1.40,-1.89,-3.75,0.00,0.00,6.95
2026-STL-0404,Order,114-1003990-3952962,2026-04-04,PH-BED-MED-GRY,1,42.99,0.00,-0.00,-6.45,-12.40,0.00,0.00,24.14
2026-STL-0404,Order,114-1004224-3402268,2026-04-04,PH-DENTAL-30CT,1,21.99,0.00,-0.00,-3.30,-4.10,0.00,0.00,14.59
2026-STL-0404,Order,114-1004225-5541591,2026-04-04,PH-DENTAL-30CT,1,21.99,0.00,-0.00,-3.30,-4.10,0.00,0.00,14.59
2026-STL-0405,Order,114-1000007-1728977,2026-04-05,PF-WHEY-CHOC,1,44.99,0.00,-0.00,-6.75,-6.10,0.00,0.00,32.14
2026-STL-0405,Order,114-1000008-7350753,2026-04-05,PF-WHEY-CHOC,1,44.99,0.00,-9.00,-5.40,-6.10,0.00,0.00,24.49
2026-STL-0405,Order,114-1000335-2436363,2026-04-05,PF-WHEY-VAN,1,44.99,0.00,-0.00,-6.75,-6.10,0.00,0.00,32.14
2026-STL-0405,Order,114-1000542-7704473,2026-04-05,PF-PREWKT-BERRY,1,32.99,0.00,-0.00,-4.95,-4.35,0.00,0.00,23.69
2026-STL-0405,Order,114-1000721-2681144,2026-04-05,PF-CREATINE-300,1,24.99,0.00,-0.00,-3.75,-4.05,0.00,0.00,17.19
2026-STL-0405,Order,114-1000722-5799841,2026-04-05,PF-CREATINE-300,1,24.99,0.00,-0.00,-3.75,-4.05,0.00,0.00,17.19
2026-STL-0405,Order,114-1000723-5431477,2026-04-05,PF-CREATINE-300,2,49.98,0.00,-5.00,-6.75,-8.10,0.00,0.00,30.13
2026-STL-0405,Order,114-1001072-3266362,2026-04-05,PF-BCAA-LEMON,1,27.99,0.00,-0.00,-4.20,-4.20,0.00,0.00,19.59
2026-STL-0405,Order,114-1001169-6276424,2026-04-05,PF-SHAKER-28,2,25.98,0.00,-0.00,-3.90,-6.90,0.00,0.00,15.18
2026-STL-0405,Order,114-1001170-4986975,2026-04-05,PF-SHAKER-28,1,12.99,0.00,-0.00,-1.95,-3.45,0.00,0.00,7.59
2026-STL-0405,Order,114-1001376-2808875,2026-04-05,PF-ELECTRO-CIT,1,21.99,0.00,-0.00,-3.30,-3.95,0.00,0.00,14.74
2026-STL-0405,Order,114-1001482-5416038,2026-04-05,GT-SERUM-VITC,1,28.99,0.00,-0.00,-4.35,-3.55,0.00,0.00,21.09
2026-STL-0405,Order,114-1001483-6251441,2026-04-05,GT-SERUM-VITC,1,28.99,0.00,-0.00,-4.35,-3.55,0.00,0.00,21.09
2026-STL-0405,Order,114-1001484-9242223,2026-04-05,GT-SERUM-VITC,1,28.99,0.00,-0.00,-4.35,-3.55,0.00,0.00,21.09
2026-STL-0405,Order,114-1001485-8381800,2026-04-05,GT-SERUM-VITC,1,28.99,0.00,-2.90,-3.91,-3.55,0.00,0.00,18.63
2026-STL-0405,Order,114-1001892-9491759,2026-04-05,GT-SERUM-HA,1,24.99,0.00,-5.00,-3.00,-3.55,0.00,0.00,13.44
2026-STL-0405,Order,114-1001893-1001435,2026-04-05,GT-SERUM-HA,3,74.97,0.00,-0.00,-11.25,-10.65,0.00,0.00,53.07
2026-STL-0405,Order,114-1002216-4461265,2026-04-05,GT-MOIST-50ML,1,22.99,0.00,-0.00,-3.45,-3.60,0.00,0.00,15.94
2026-STL-0405,Order,114-1002217-2810792,2026-04-05,GT-MOIST-50ML,1,22.99,0.00,-4.60,-2.76,-3.60,0.00,0.00,12.03
2026-STL-0405,Order,114-1002576-8443265,2026-04-05,GT-MASK-CLAY,1,14.99,0.00,-0.00,-2.25,-3.85,0.00,0.00,8.89
2026-STL-0405,Order,114-1002709-8113803,2026-04-05,GT-EYE-CREAM,1,26.99,0.00,-0.00,-4.05,-3.50,0.00,0.00,19.44
2026-STL-0405,Order,114-1002710-7725530,2026-04-05,GT-EYE-CREAM,1,26.99,0.00,-5.40,-3.24,-3.50,0.00,0.00,14.85
2026-STL-0405,Order,114-1002822-6873992,2026-04-05,GT-SPF30-TINT,2,47.98,0.00,-4.80,-6.48,-7.20,0.00,0.00,29.50
2026-STL-0405,Order,114-1002823-7375918,2026-04-05,GT-SPF30-TINT,2,47.98,0.00,-0.00,-7.20,-7.20,0.00,0.00,33.58
2026-STL-0405,Order,114-1003090-4278016,2026-04-05,PH-CHEW-BULLY-6,1,29.99,0.00,-0.00,-4.50,-4.60,0.00,0.00,20.89
2026-STL-0405,Order,114-1003349-5888482,2026-04-05,PH-TREAT-SALMON,1,18.99,0.00,-0.00,-2.85,-3.90,0.00,0.00,12.24
2026-STL-0405,Order,114-1003662-8387907,2026-04-05,PH-SHAMPOO-OAT,1,15.99,0.00,-0.00,-2.40,-3.95,0.00,0.00,9.64
2026-STL-0405,Order,114-1003663-3895328,2026-04-05,PH-SHAMPOO-OAT,1,15.99,0.00,-1.60,-2.16,-3.95,0.00,0.00,8.28
2026-STL-0405,Order,114-1003817-5697596,2026-04-05,PH-TOY-ROPE-L,2,27.98,0.00,-0.00,-4.20,-7.50,0.00,0.00,16.28
2026-STL-0405,Order,114-1003991-9130904,2026-04-05,PH-BED-MED-GRY,1,42.99,0.00,-0.00,-6.45,-12.40,0.00,0.00,24.14
2026-STL-0405,Order,114-1003992-6909755,2026-04-05,PH-BED-MED-GRY,1,42.99,0.00,-0.00,-6.45,-12.40,0.00,0.00,24.14
2026-STL-0405,Order,114-1004226-6389326,2026-04-05,PH-DENTAL-30CT,1,21.99,0.00,-0.00,-3.30,-4.10,0.00,0.00,14.59
2026-STL-0406,Order,114-1000009-7067228,2026-04-06,PF-WHEY-CHOC,1,44.99,0.00,-0.00,-6.75,-6.10,0.00,0.00,32.14
2026-STL-0406,Order,114-1000010-4823498,2026-04-06,PF-WHEY-CHOC,1,44.99,0.00,-0.00,-6.75,-6.10,0.00,0.00,32.14
2026-STL-0406,Order,114-1000011-2694522,2026-04-06,PF-WHEY-CHOC,3,134.97,0.00,-13.50,-18.22,-18.30,0.00,0.00,84.95
2026-STL-0406,Order,114-1000543-2777454,2026-04-06,PF-PREWKT-BERRY,1,32.99,0.00,-0.00,-4.95,-4.35,0.00,0.00,23.69
2026-STL-0406,Order,114-1000544-4708297,2026-04-06,PF-PREWKT-BERRY,1,32.99,0.00,-0.00,-4.95,-4.35,0.00,0.00,23.69
2026-STL-0406,Order,114-1000724-3413447,2026-04-06,PF-CREATINE-300,1,24.99,0.00,-0.00,-3.75,-4.05,0.00,0.00,17.19
2026-STL-0406,Order,114-1001073-4722641,2026-04-06,PF-BCAA-LEMON,1,27.99,0.00,-0.00,-4.20,-4.20,0.00,0.00,19.59
2026-STL-0406,Order,114-1001171-7278297,2026-04-06,PF-SHAKER-28,1,12.99,0.00,-0.00,-1.95,-3.45,0.00,0.00,7.59
2026-STL-0406,Order,114-1001300-7266039,2026-04-06,PF-VEGAN-CHOC,1,39.99,0.00,-0.00,-6.00,-6.10,0.00,0.00,27.89
2026-STL-0406,Order,114-1001486-1601668,2026-04-06,GT-SERUM-VITC,1,28.99,0.00,-0.00,-4.35,-3.55,0.00,0.00,21.09
2026-STL-0406,Order,114-1001487-2946560,2026-04-06,GT-SERUM-VITC,1,28.99,0.00,-0.00,-4.35,-3.55,0.00,0.00,21.09
2026-STL-0406,Order,114-1001488-6981414,2026-04-06,GT-SERUM-VITC,2,57.98,0.00,-0.00,-8.70,-7.10,0.00,0.00,42.18
2026-STL-0406,Order,114-1001894-9960751,2026-04-06,GT-SERUM-HA,2,49.98,0.00,-0.00,-7.50,-7.10,0.00,0.00,35.38
2026-STL-0406,Order,114-1001895-9768884,2026-04-06,GT-SERUM-HA,1,24.99,0.00,-0.00,-3.75,-3.55,0.00,0.00,17.69
2026-STL-0406,Order,114-1001896-9566284,2026-04-06,GT-SERUM-HA,3,74.97,0.00,-0.00,-11.25,-10.65,0.00,0.00,53.07
2026-STL-0406,Order,114-1001897-4977883,2026-04-06,GT-SERUM-HA,1,24.99,0.00,-2.50,-3.37,-3.55,0.00,0.00,15.57
2026-STL-0406,Order,114-1002218-8537488,2026-04-06,GT-MOIST-50ML,2,45.98,0.00,-0.00,-6.90,-7.20,0.00,0.00,31.88
2026-STL-0406,Order,114-1002219-6852648,2026-04-06,GT-MOIST-50ML,2,45.98,0.00,-0.00,-6.90,-7.20,0.00,0.00,31.88
2026-STL-0406,Order,114-1002421-2239672,2026-04-06,GT-CLEANSE-150,1,16.99,0.00,-0.00,-2.55,-3.70,0.00,0.00,10.74
2026-STL-0406,Order,114-1002422-1338131,2026-04-06,GT-CLEANSE-150,1,16.99,0.00,-0.00,-2.55,-3.70,0.00,0.00,10.74
2026-STL-0406,Order,114-1002711-3283712,2026-04-06,GT-EYE-CREAM,2,53.98,0.00,-0.00,-8.10,-7.00,0.00,0.00,38.88
2026-STL-0406,Order,114-1002712-6227870,2026-04-06,GT-EYE-CREAM,1,26.99,0.00,-0.00,-4.05,-3.50,0.00,0.00,19.44
