snapshot_date,sku,asin_x,fulfillable,reserved,unfulfillable,inbound,raw_sku,canonical_sku,brand,product_name,asin_y,status,brand_method,net_units,applied_unit_cost,cost_imputed,contribution_margin_pct,daily_net_units,fulfillable_days_cover,incl_inbound_days_cover,unfulfillable_rate,fulfillable_inventory_value,inbound_inventory_value,inventory_action
2026-06-30,GT-EYE-CREAM,B0GTEYECRM,452,33,6,0,GT-EYE-CREAM,GT-EYE-CREAM,GlowTheory,GlowTheory Restorative Eye Cream 15ml,B0GTEYECRM,Active,mapping,121.0,5.098,False,0.5127091052336821,1.3296703296703296,339.93388429752065,339.93388429752065,0.012219959266802444,2304.296,0.0,MONITOR
2026-06-30,PH-TOY-ROPE-L,B0PHROPELG,842,18,3,1000,PH-TOY-ROPE-L,PH-TOY-ROPE-L,PawHaus,PawHaus Braided Rope Toy Large,B0PHROPELG,Active,mapping,208.0,6.747915824915824,True,0.06269366414814252,2.2857142857142856,368.375,805.875,0.0034762456546929316,5681.745124579124,6747.9158249158245,SLOW-MOVER REVIEW
2026-06-30,PF-PREWKT-BERRY,B0PFPREBRY,936,56,5,0,PF-PREWKT-BERRY,PF-PREWKT-BERRY,Peak Fuel,Peak Fuel Pre-Workout Mixed Berry 30srv,B0PFPREBRY,Active,mapping,198.0,8.902,False,0.42985086880054063,2.1758241758241756,430.18181818181824,430.18181818181824,0.0050150451354062184,8332.271999999999,0.0,SLOW-MOVER REVIEW
2026-06-30,PF-WHEY-VAN,B0PF4W2VAN,1174,34,0,0,PF-WHEY-VAN,PF-WHEY-VAN,Peak Fuel,Peak Fuel Whey Protein Vanilla 2lb,B0PF4W2VAN,Active,mapping,247.0,14.196000000000002,False,0.38577656388544984,2.7142857142857144,432.52631578947364,432.52631578947364,0.0,16666.104000000003,0.0,SLOW-MOVER REVIEW
2026-06-30,PH-BED-MED-GRY,B0PHBEDMGR,605,35,8,300,PH-BED-MED-GRY,PH-BED-MED-GRY,PawHaus,PawHaus Orthopedic Dog Bed Medium Grey,B0PHBEDMGR,Active,mapping,114.0,19.695999999999998,False,0.061018893839402455,1.2527472527472527,482.93859649122805,722.4122807017544,0.012345679012345678,11916.079999999998,5908.799999999999,SLOW-MOVER REVIEW
2026-06-30,PF-BCAA-LEMON,B0PFBCALEM,620,35,12,1000,PF-BCAA-LEMON,PF-BCAA-LEMON,Peak Fuel,Peak Fuel BCAA Lemon Lime 40srv,B0PFBCALEM,Active,mapping,113.0,7.098,False,0.4299954162291496,1.2417582417582418,499.2920353982301,1304.6017699115043,0.017991004497751123,4400.76,7098.0,SLOW-MOVER REVIEW
2026-06-30,GT-SPF30-TINT,B0GTSPF30T,1207,58,8,0,GT-SPF30-TINT,GT-SPF30-TINT,GlowTheory,GlowTheory Tinted SPF 30 Sunscreen 50ml,B0GTSPF30T,Active,mapping,213.0,6.304,False,0.4142662947992779,2.340659340659341,515.6666666666666,515.6666666666666,0.006284367635506678,7608.928,0.0,SLOW-MOVER REVIEW
2026-06-30,PF-ELECTRO-CITRUS,B0PFELECIT,692,6,2,500,PF-ELECTRO-CITRUS,PF-ELECTRO-CIT,Peak Fuel,Peak Fuel Electrolyte Powder Citrus 60srv,B0PFELECIT,Active,mapping,119.0,6.402,False,0.36324752599028753,1.3076923076923077,529.1764705882352,911.5294117647059,0.002857142857142857,4430.184,3201.0,SLOW-MOVER REVIEW
2026-06-30,PH-SHAMPOO-OAT,B0PHSHMOAT,1129,9,2,1000,PH-SHAMPOO-OAT,PH-SHAMPOO-OAT,PawHaus,PawHaus Oatmeal Dog Shampoo 16oz,B0PHSHMOAT,Active,mapping,188.0,3.804,False,0.3525336754329699,2.065934065934066,546.4840425531914,1030.5265957446807,0.0017543859649122807,4294.715999999999,3804.0,SLOW-MOVER REVIEW
2026-06-30,GT-MASK-CLAY,B0GTMSKCLY,957,48,73,500,GT-MASK-CLAY,GT-MASK-CLAY,GlowTheory,GlowTheory Detox Clay Mask 100g,B0GTMSKCLY,Active,mapping,142.0,4.598,False,0.23825760124580653,1.5604395604395604,613.2887323943662,933.7112676056338,0.06771799628942486,4400.286,2299.0,SLOW-MOVER REVIEW
2026-06-30,GT-CLEANSE-150,B0GTCLN150,1302,16,2,0,GT-CLEANSE-150,GT-CLEANSE-150,GlowTheory,GlowTheory Gentle Foaming Cleanser 150ml,B0GTCLN150,Active,mapping,168.0,3.902,False,0.3752462320930265,1.8461538461538463,705.25,705.25,0.0015151515151515152,5080.404,0.0,SLOW-MOVER REVIEW
2026-06-30,PF-VEGAN-CHOC,B0PFVGNCHC,801,24,7,0,PF-VEGAN-CHOC,PF-VEGAN-CHOC,Peak Fuel,Peak Fuel Vegan Protein Chocolate 2lb,B0PFVGNCHC,Active,mapping,87.0,15.804000000000002,False,0.2814826351035664,0.9560439560439561,837.8275862068965,837.8275862068965,0.008413461538461538,12659.004,0.0,SLOW-MOVER REVIEW
2026-06-30,GT-ROLLER-JADE,B0GTRLRJDE,1068,31,0,300,GT-ROLLER-JADE,GT-ROLLER-JADE,GlowTheory,GlowTheory Jade Facial Roller,B0GTRLRJDE,Active,mapping,98.0,2.696,False,0.38848127817199984,1.0769230769230769,991.7142857142858,1270.2857142857144,0.0,2879.328,808.8000000000001,SLOW-MOVER REVIEW
2026-06-30,GT-LIP-BALM,B0GTLIPBLM,1182,58,11,300,GT-LIP-BALM,GT-LIP-BALM,GlowTheory,GlowTheory Repair Lip Balm SPF 15,B0GTLIPBLM,Active,mapping,23.0,4.7010000000000005,True,0.026013257997063662,0.25274725274725274,4676.608695652174,5863.565217391305,0.008792965627498001,5556.582,1410.3000000000002,SLOW-MOVER REVIEW
